Row: 0 favorites=0, creation_time=1755864693780, title_res=NULL, custom_ringtone=NULL, account_type=vnd.sec.contact.phone, notes=NULL, title=Family, account_name=vnd.sec.contact.phone, auto_add=0, group_is_read_only=1, sourceid=d2b5251d-a909-492a-a8bc-f73918cdf03d, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Family, data_set=NULL, version=1, group_visible=1, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=NULL, _id=1, sync1=NULL, group_order=NULL, account_type_and_data_set=vnd.sec.contact.phone, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 1 favorites=0, creation_time=1755864693781, title_res=NULL, custom_ringtone=NULL, account_type=vnd.sec.contact.phone, notes=NULL, title=Friends, account_name=vnd.sec.contact.phone, auto_add=0, group_is_read_only=1, sourceid=1709a9bf-ff2a-43b9-9590-282fd4ed83e2, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Friends, data_set=NULL, version=1, group_visible=1, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=NULL, _id=2, sync1=NULL, group_order=NULL, account_type_and_data_set=vnd.sec.contact.phone, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 2 favorites=0, creation_time=1755864693781, title_res=NULL, custom_ringtone=NULL, account_type=vnd.sec.contact.phone, notes=NULL, title=Coworkers, account_name=vnd.sec.contact.phone, auto_add=0, group_is_read_only=1, sourceid=ee9770b5-f424-48a7-8f22-a6b1aef22279, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Coworkers, data_set=NULL, version=1, group_visible=1, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=NULL, _id=3, sync1=NULL, group_order=NULL, account_type_and_data_set=vnd.sec.contact.phone, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 3 favorites=0, creation_time=1755864693781, title_res=NULL, custom_ringtone=NULL, account_type=vnd.sec.contact.phone, notes=NULL, title=ICE, account_name=vnd.sec.contact.phone, auto_add=0, group_is_read_only=1, sourceid=ab9ef81c-418c-4955-9d30-4e432c2b5ea0, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=NULL, data_set=NULL, version=1, group_visible=1, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=NULL, _id=4, sync1=NULL, group_order=1, account_type_and_data_set=vnd.sec.contact.phone, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 4 favorites=0, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=My Contacts, account_name=billydeeii136@gmail.com, auto_add=1, group_is_read_only=1, sourceid=6, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Contacts, data_set=NULL, version=3, group_visible=1, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=, _id=5, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 5 favorites=1, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=Starred in Android, account_name=billydeeii136@gmail.com, auto_add=0, group_is_read_only=1, sourceid=254925b9092fd02c, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=NULL, data_set=NULL, version=2, group_visible=1, deleted=0, sync4=NULL, sync3=1763061363712522, sec_custom_alert=NULL, should_sync=1, sync2=JH58JWoKbbE=, _id=6, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 6 favorites=0, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=Friends, account_name=billydeeii136@gmail.com, auto_add=0, group_is_read_only=1, sourceid=d, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Friends, data_set=NULL, version=1, group_visible=0, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=, _id=7, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 7 favorites=0, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=Family, account_name=billydeeii136@gmail.com, auto_add=0, group_is_read_only=1, sourceid=e, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Family, data_set=NULL, version=1, group_visible=0, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=, _id=8, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 8 favorites=0, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=Coworkers, account_name=billydeeii136@gmail.com, auto_add=0, group_is_read_only=1, sourceid=f, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Coworkers, data_set=NULL, version=1, group_visible=0, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=, _id=9, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 9 favorites=0, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=Bouzaud, account_name=billydeeii136@gmail.com, auto_add=0, group_is_read_only=0, sourceid=720132f68fe67f18, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=NULL, data_set=NULL, version=3, group_visible=0, deleted=0, sync4=NULL, sync3=1763064328671299, sec_custom_alert=NULL, should_sync=1, sync2=It/C7iQIS3w=, _id=11, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 10 favorites=0, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=ICE, account_name=billydeeii136@gmail.com, auto_add=0, group_is_read_only=0, sourceid=75607e750884401b, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=NULL, data_set=NULL, version=3, group_visible=1, deleted=0, sync4=NULL, sync3=1763260943310102, sec_custom_alert=NULL, should_sync=1, sync2=X3MyLAP5d6I=, _id=12, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 11 favorites=0, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=My Contacts, account_name=williamscottdavisii136@gmail.com, auto_add=1, group_is_read_only=1, sourceid=6, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=Contacts, data_set=NULL, version=3, group_visible=1, deleted=0, sync4=NULL, sync3=NULL, sec_custom_alert=NULL, should_sync=1, sync2=, _id=13, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
Row: 12 favorites=1, creation_time=0, title_res=NULL, custom_ringtone=NULL, account_type=com.google, notes=NULL, title=Starred in Android, account_name=williamscottdavisii136@gmail.com, auto_add=0, group_is_read_only=1, sourceid=18acb7200ef57378, dirty=0, res_package=NULL, sec_custom_vibration=NULL, system_id=NULL, data_set=NULL, version=2, group_visible=1, deleted=0, sync4=NULL, sync3=1773955657121715, sec_custom_alert=NULL, should_sync=1, sync2=JH58JWoKbbE=, _id=14, sync1=NULL, group_order=NULL, account_type_and_data_set=com.google, sec_call_background=NULL, sec_custom_dormant_group=0
